8364	218	562	
15572	282	678	
7840	391	826	
13522	249	2479	
19707	147	195	
7846	95	1992	
5786	264	2091	
17378	288	529	
10839	87	1557	
1726	205	1646	
3232	67	660	
387	86	780	
17406	407	2082	
19863	247	902	
7957	62	2349	
17349	192	1059	
7534	208	1693	
8885	197	1928	
12943	471	1145	
779	327	782	
2455	340	1544	
10819	347	867	
10682	243	614	
5895	495	463	
2820	206	998	
2178	485	330	
17358	214	1818	
14920	447	487	
1773	367	1400	
15370	249	900	
17140	298	661	
2137	95	986	
4868	193	1354	
14098	444	101	
4164	72	1836	
19181	473	1186	
8898	303	2303	
3186	130	2433	
1979	355	737	
7230	73	640	
13942	310	1422	
8752	31	123	
452	124	280	
1821	44	2276	
3090	487	1363	
2400	19	1416	
5005	335	2334	
9291	268	1399	
2842	26	646	
18285	7	1287	
14444	200	1221	
9422	435	1517	
16081	495	483	
3292	226	932	
10870	434	2413	
3431	170	1532	
16010	374	24	
19321	132	2404	
11458	285	131	
13799	176	1892	
15024	60	448	
16818	325	743	
8583	348	2459	
16585	384	1960	
18362	177	8	
5319	465	1262	
7192	317	2204	
11107	8	1146	
11223	36	356	
6476	136	149	
16640	252	12	
3037	421	1194	
14234	417	1923	
16941	77	585	
9320	459	1461	
5100	299	140	
19402	99	81	
18617	165	1523	
16009	93	2236	
6720	342	444	
7825	255	796	
14050	319	1276	
5015	483	721	
6657	287	1101	
19079	382	1517	
9225	294	277	
13043	76	752	
7232	465	1009	
13154	107	2436	
7040	256	552	
19860	149	2367	
9681	57	778	
12709	244	186	
16271	485	2486	
18747	344	1413	
9630	289	850	
2218	261	1196	
15904	235	1179	
13624	374	671	
11806	313	1547	
15189	412	2054	
16191	165	451	
3494	259	2117	
8172	226	1961	
11774	4	2154	
2241	330	1887	
8711	270	1924	
9019	325	1448	
19939	437	975	
9358	466	2132	
7748	383	2088	
18319	309	2342	
8240	182	1193	
8226	141	1333	
9036	81	2089	
7631	317	2257	
13012	33	507	
3894	40	2031	
13135	107	527	
12446	296	71	
6313	353	672	
16068	337	2286	
7199	338	863	
11281	407	1402	
19208	174	939	
655	146	724	
9548	435	1153	
962	53	588	
14511	290	2454	
14249	29	1350	
5473	439	464	
18474	458	1013	
3736	137	406	
18999	371	1816	
16071	272	1741	
789	182	2135	
18943	94	1254	
18616	215	796	
16957	201	1916	
14103	269	1439	
7895	184	2033	
19820	198	2286	
1785	362	600	
19492	425	2329	
11603	99	1638	
5815	418	1888	
15688	49	2334	
7237	88	1207	
11412	132	871	
19533	16	1950	
15045	29	143	
13133	236	2196	
3803	230	1647	
912	463	310	
7648	296	2019	
17939	212	1208	
8245	112	718	
8413	103	2389	
16917	485	1757	
3010	340	360	
3142	143	233	
1678	3	49	
4814	205	1368	
19508	305	99	
5788	101	1299	
18465	220	1791	
4512	435	755	
13733	117	2211	
8601	199	518	
6654	174	2442	
15271	482	1722	
2539	11	1203	
8676	260	576	
18877	96	1514	
6374	122	730	
15243	330	1470	
16661	156	219	
4751	260	951	
13062	176	1468	
15374	167	1877	
1091	303	2072	
14844	485	1201	
14320	331	1890	
9402	401	2026	
19380	323	124	
1362	471	1717	
13618	480	830	
4260	237	2376	
11368	253	523	
4710	281	2206	
13747	422	496	
13355	263	1528	
554	433	975	
12955	133	1446	
988	235	2191	
424	396	446	
15645	354	1081	
7944	396	2285	
19725	371	1119	
681	250	38	
8839	256	2036	
7038	209	568	
13067	374	984	
5174	438	2437	
11641	315	48	
6397	499	389	
6779	329	1940	
18105	448	1835	
226	128	1760	
5621	229	1514	
5256	419	1375	
7539	69	433	
3271	423	70	
11580	137	1934	
15549	54	1351	
16489	228	1083	
13462	164	924	
12291	445	9	
11093	177	1300	
18746	78	122	
7157	467	664	
2016	483	791	
8618	322	1467	
9789	475	441	
6032	230	635	
10683	160	258	
12177	144	2209	
3969	338	943	
1298	397	1920	
12129	42	2062	
15113	469	1623	
17321	391	1406	
5980	434	657	
6410	270	2405	
18780	448	353	
5643	293	966	
16283	475	1310	
2353	30	2424	
10801	343	1946	
3495	60	2300	
4561	126	656	
13029	193	1315	
9198	431	1193	
14367	419	138	
8259	275	33	
117	33	390	
14005	465	2006	
4483	473	27	
7236	191	1609	
8035	270	708	
9376	254	1263	
3669	213	2296	
8693	301	2403	
8455	411	1384	
16887	248	2359	
11814	121	603	
7308	287	2306	
18722	253	1656	
4864	139	2421	
9271	359	2036	
10827	13	201	
16440	487	1125	
12878	108	1819	
15714	446	1616	
14789	75	2063	
13187	449	1791	
6027	55	2111	
15744	111	698	
8315	289	1287	
12235	57	1907	
10475	424	1947	
16908	193	359	
13430	443	1661	
15353	474	2480	
18486	203	783	
1965	219	77	
1033	8	1879	
11378	235	2155	
5433	109	1320	
14458	25	2113	
8238	103	1004	
904	112	1631	
18931	30	1283	
13310	395	914	
6773	51	559	
19940	1	183	
8108	140	135	
2274	226	1911	
4551	448	226	
8384	90	139	
2899	461	132	
2568	467	653	
3652	208	1282	
12260	355	536	
13565	375	15	
10854	420	1181	
120	447	325	
15872	266	1083	
673	108	322	
8024	78	455	
3295	460	129	
4173	402	405	
267	287	198	
6282	226	955	
19789	328	1872	
1574	432	1786	
14022	86	2337	
1991	452	687	
13680	331	451	
8298	69	2469	
17597	30	457	
4680	205	395	
18136	348	2446	
5688	252	809	
17802	432	189	
12931	339	1233	
17886	100	1142	
3182	249	2423	
5037	324	580	
13109	174	468	
18475	115	483	
13991	254	2388	
2053	251	2298	
2485	293	1101	
19896	331	1766	
18424	494	2169	
18564	486	1059	
9247	499	1650	
1115	242	419	
6927	200	1934	
16740	219	1112	
4959	436	267	
17379	100	2272	
11885	284	1148	
11267	481	1675	
10766	271	333	
13333	341	1548	
5618	36	1037	
6470	388	682	
9331	376	835	
2529	461	1399	
19201	226	2007	
9824	4	2234	
8643	227	1017	
13929	482	2309	
4222	10	975	
69	286	461	
1572	279	670	
5017	273	485	
14436	93	765	
7584	80	2106	
2759	175	1114	
10158	429	2003	
2253	352	504	
4051	469	1560	
477	71	945	
11110	140	1057	
14268	403	910	
12471	305	897	
19370	320	1302	
9841	213	2485	
7965	166	220	
14740	38	1320	
14397	209	1266	
9274	113	918	
14194	77	83	
16581	409	2311	
12842	216	783	
2041	50	1932	
9394	393	2136	
1395	310	424	
2103	329	1725	
2848	139	1710	
15922	158	537	
5459	7	1847	
9337	406	1203	
5032	269	2499	
10990	400	2335	
19749	128	881	
7915	467	1592	
10144	79	405	
4521	403	1178	
10195	476	1360	
17724	100	2133	
10457	223	1747	
14105	419	1921	
17643	145	2105	
2862	454	188	
10681	137	1445	
6759	244	1280	
11427	273	1575	
7368	107	1363	
11074	39	1331	
10586	87	764	
7407	308	2233	
18185	495	642	
8103	200	2183	
12411	315	372	
14953	135	1611	
548	236	1815	
10835	106	531	
5468	376	718	
12453	115	1221	
6866	277	831	
349	70	95	
12859	282	1669	
12502	63	394	
6250	268	658	
2003	497	683	
651	257	766	
12970	124	712	
9237	93	113	
9066	241	1178	
4442	288	1211	
17286	11	377	
17318	207	612	
18984	151	204	
18325	68	871	
10246	230	1862	
14286	58	2468	
18775	449	826	
14991	392	832	
18620	28	978	
15093	411	699	
13775	85	2232	
19498	147	32	
16332	114	943	
17965	421	46	
5638	264	2022	
16085	474	2315	
5513	318	1470	
4264	368	2464	
16030	353	1325	
2140	135	2359	
1527	50	2386	
15985	85	540	
12723	41	1578	
4871	347	2077	
14629	319	1675	
3520	264	2394	
13224	272	833	
9409	369	459	
14670	258	460	
5774	46	2039	
16598	142	248	
5121	272	787	
5012	53	310	
5872	272	1151	
4312	272	1465	
813	160	1179	
13632	311	1636	
16360	208	1081	
11421	471	2070	
642	309	1616	
17953	232	242	
16542	371	137	
15475	23	2433	
2169	168	453	
18951	375	2241	
8150	492	1938	
11377	21	1776	
5602	460	84	
6906	169	263	
5489	31	2248	
9739	284	2327	
115	100	235	
8669	197	325	
528	160	440	
7273	90	2407	
5524	323	1313	
8500	468	1783	
14292	18	1894	
11460	235	152	
2402	411	1782	
17250	143	1266	
15337	12	1878	
16955	46	1498	
6392	452	1077	
1286	234	1935	
15071	294	1243	
16966	302	1165	
