40560	45839	
2051	2794	
3093	865	
24490	15354	
23333	3538	
18456	16130	
21786	14957	
26815	12197	
13292	40884	
28613	6354	
38264	8113	
5704	317	
31696	17915	
38178	33578	
40189	3137	
34744	808	
13455	41414	
35821	39960	
11877	21737	
23748	18537	
18551	9871	
13058	20754	
49984	23104	
12594	22747	
29722	13259	
6306	21320	
5970	1798	
20746	32210	
346	39686	
16109	20916	
27453	4071	
17976	36159	
42509	4120	
29831	1835	
32568	48823	
12871	14042	
2105	3060	
33638	35754	
27899	34885	
5270	48040	
17256	182	
38321	44603	
20992	43034	
14519	17860	
48229	45138	
16402	9520	
20771	18041	
9258	7943	
8397	7402	
46213	40404	
44610	21358	
5206	25073	
14991	9494	
4614	15935	
37614	513	
36128	3647	
12620	11994	
46198	1600	
36760	12706	
36226	31413	
44886	21173	
41255	25794	
6404	33899	
42469	43555	
10820	22238	
1467	38201	
13336	45891	
42182	31922	
37004	28487	
11576	10676	
12957	34455	
8484	36245	
17544	34156	
230	35274	
29149	20497	
15456	31515	
16721	46338	
43998	2495	
13283	30723	
39499	10137	
886	46794	
18044	40334	
36157	28634	
1483	22417	
12086	15725	
32926	23437	
31277	26573	
31237	39967	
13361	16191	
9059	41854	
38307	16332	
40820	6120	
4986	30381	
4541	30538	
48020	47555	
6528	32171	
45127	10865	
2830	4773	
45350	23142	
33495	39202	
25343	37962	
29166	31263	
32801	23845	
14264	31455	
24362	3511	
1427	31231	
559	2519	
3186	2353	
10821	25851	
4422	40775	
45707	11008	
13049	19518	
40955	32487	
5972	13669	
40070	16908	
13137	36744	
33324	4340	
18106	42589	
19149	34899	
48288	28282	
22697	28792	
32136	31873	
33283	41552	
35114	31749	
40990	3999	
48763	39021	
2797	25338	
18774	31045	
17584	19186	
3855	24961	
16928	33467	
3417	46913	
18014	26904	
588	28485	
37836	28354	
15940	19456	
29878	44632	
5033	30006	
32315	37151	
48023	6303	
7388	18298	
26666	7581	
40799	40918	
11543	5642	
27184	27372	
4617	14475	
25125	48330	
37639	16529	
24525	8955	
23871	27246	
26260	49201	
19137	47300	
44533	7797	
5354	22921	
46845	8326	
20412	29975	
31485	39094	
11968	13562	
24641	49557	
31774	38620	
45926	32071	
6360	11808	
42321	43815	
3601	44947	
40438	25434	
42027	43199	
38578	48149	
40905	47130	
29705	22930	
33166	5511	
24764	12000	
34070	40811	
40677	43528	
42801	47648	
22244	8757	
39702	11364	
21612	5453	
28981	49780	
15037	4341	
5782	32671	
19906	7104	
34992	15289	
43812	14611	
44887	18522	
32537	10756	
16115	6038	
31149	40896	
13802	40120	
2027	6955	
21369	46183	
42904	32370	
35124	42235	
34284	2173	
